答案如下
第1题答案    20'1/3
第2题答案    27
第3题答案    19
第4题答案    9
第5题答案    14'4/9
第6题答案    14'2/3
第7题答案    1/2
第8题答案    63/71
第9题答案    3'1/3
第10题答案    74
第11题答案    9/40
第12题答案    5'2/3
第13题答案    7'1/9
第14题答案    48
第15题答案    1'59/64
第16题答案    8'5/7
第17题答案    3/16
第18题答案    11
第19题答案    40'1/2
第20题答案    3
第21题答案    5'4/9
第22题答案    8
第23题答案    12
第24题答案    6
第25题答案    9/10
第26题答案    1/9
第27题答案    5'17/18
第28题答案    5'3/5
第29题答案    2'1/3
第30题答案    10
第31题答案    10'1/8
第32题答案    6'2/3
第33题答案    0
第34题答案    2'9/10
第35题答案    3'1/2
第36题答案    1
第37题答案    12
第38题答案    8/45
第39题答案    7
第40题答案    2
第41题答案    7'7/15
第42题答案    8'1/7
第43题答案    28
第44题答案    10
第45题答案    7'2/3
第46题答案    2/5
第47题答案    5'4/9
第48题答案    2
第49题答案    24
第50题答案    40
第51题答案    8
第52题答案    3/112
第53题答案    3'1/2
第54题答案    1/2
第55题答案    1'3/5
第56题答案    24
第57题答案    1/9
第58题答案    70
第59题答案    4'1/8
第60题答案    4/5
第61题答案    19/40
第62题答案    2
第63题答案    15
第64题答案    2
第65题答案    80
第66题答案    12
第67题答案    43
第68题答案    14/15
第69题答案    1/78
第70题答案    2/5
第71题答案    9
第72题答案    1'1/3
第73题答案    8'1/2
第74题答案    18
第75题答案    126
第76题答案    9'1/2
第77题答案    6'3/10
第78题答案    6
第79题答案    1/200
第80题答案    1/27
第81题答案    37/126
第82题答案    9
第83题答案    9/700
第84题答案    2'11/12
第85题答案    48
第86题答案    7
第87题答案    1
第88题答案    1/35
第89题答案    2'5/7
第90题答案    4
第91题答案    2
第92题答案    7/10
第93题答案    7
第94题答案    12'6/7
第95题答案    2'55/56
第96题答案    65
第97题答案    1/16
第98题答案    71
第99题答案    11/20
第100题答案    16
第101题答案    1/16
第102题答案    4'3/5
第103题答案    10'2/7
第104题答案    100
第105题答案    9/10
第106题答案    2'5/6
第107题答案    17
第108题答案    83
第109题答案    11
第110题答案    14
第111题答案    24/35
第112题答案    8'2/5
第113题答案    11
第114题答案    15'1/2
第115题答案    1
第116题答案    3
第117题答案    270
第118题答案    4/7
第119题答案    2'7/10
第120题答案    3/5
第121题答案    1'1/2
第122题答案    4'58/63
第123题答案    6
第124题答案    15
第125题答案    1
第126题答案    5'2/3
第127题答案    17'4/5
第128题答案    31/40
第129题答案    63
第130题答案    1'2/25
第131题答案    12'5/6
第132题答案    10'1/5
第133题答案    54
第134题答案    5
第135题答案    2/7
第136题答案    2/15
第137题答案    4'4/9
第138题答案    3'7/10
第139题答案    14'1/3
第140题答案    2'2/5
第141题答案    1/42
第142题答案    11/20
第143题答案    6
第144题答案    2/19
第145题答案    44/45
第146题答案    5'1/8
第147题答案    16/63
第148题答案    2'4/5
第149题答案    14'3/5
第150题答案    11
第151题答案    60
第152题答案    56
第153题答案    192
第154题答案    1/4
第155题答案    56
第156题答案    35
第157题答案    9'1/9
第158题答案    5'7/8
第159题答案    3/7
第160题答案    280
第161题答案    1'1/9
第162题答案    1/2
第163题答案    20/63
第164题答案    2'2/3
第165题答案    8'5/14
第166题答案    1/20
第167题答案    10/27
第168题答案    9/20
第169题答案    8
第170题答案    5
第171题答案    108
第172题答案    1'5/8
第173题答案    3'1/6
第174题答案    40'1/2
第175题答案    7'7/8
第176题答案    3/8
第177题答案    18
第178题答案    3/50
第179题答案    6
第180题答案    7/8
第181题答案    7/360
第182题答案    1
第183题答案    12'2/3
第184题答案    38
第185题答案    3'4/5
第186题答案    15
第187题答案    5
第188题答案    5'4/9
第189题答案    1'7/90
第190题答案    5
第191题答案    6'3/7
第192题答案    1'1/3
第193题答案    13
第194题答案    11/30
第195题答案    15
第196题答案    8'1/3
第197题答案    11
第198题答案    1/15
第199题答案    5/24
第200题答案    8'3/5
第201题答案    5/8
第202题答案    4
第203题答案    1/24
第204题答案    5/7
第205题答案    4/7
第206题答案    1/9
第207题答案    2'3/5
第208题答案    28
第209题答案    43'1/5
第210题答案    47'3/8
第211题答案    1/3
第212题答案    5'3/5
第213题答案    1/9
