题目如下，一共1000道题目
第1题:      3÷1/7-2/3 = 
第2题:      3*9 = 
第3题:      (6×3)+1 = 
第4题:      9/1 = 
第5题:      10+(4/9×10) = 
第6题:      5+(2/3+9) = 
第7题:      9÷2-4 = 
第8题:      7÷(8/9+7) = 
第9题:      1/3*10 = 
第10题:      8×9+2 = 
第11题:      3×(3/8÷5) = 
第12题:      2/3+3÷3/5 = 
第13题:      8*8/9 = 
第14题:      6*8 = 
第15题:      2-(5/8÷8) = 
第16题:      8+5÷7 = 
第17题:      3÷(4÷1/4) = 
第18题:      5+6 = 
第19题:      8×5+1/2 = 
第20题:      1×4-1 = 
第21题:      (1×5)+4/9 = 
第22题:      1÷1+7 = 
第23题:      9/3/4 = 
第24题:      9×1/3÷1/2 = 
第25题:      9/10-8/9+8/9 = 
第26题:      3÷(9×3) = 
第27题:      6-(1/6÷3) = 
第28题:      6×1-2/5 = 
第29题:      7×(1/7÷3/7) = 
第30题:      1×2×5 = 
第31题:      1/8+10 = 
第32题:      1/2÷(3/10÷4) = 
第33题:      4-4 = 
第34题:      2+9/10 = 
第35题:      3+1/2 = 
第36题:      1/1 = 
第37题:      8+4 = 
第38题:      2/5*4/9 = 
第39题:      2+5 = 
第40题:      1×4-2 = 
第41题:      4/5+2/3+6 = 
第42题:      1÷7+8 = 
第43题:      8+10÷1/2 = 
第44题:      10/1 = 
第45题:      7÷3/5-4 = 
第46题:      (8×2/5)÷8 = 
第47题:      7*7/9 = 
第48题:      8-6 = 
第49题:      4×6÷1 = 
第50题:      5÷1/5÷5/8 = 
第51题:      9*8/9 = 
第52题:      1/6÷(2/9+6) = 
第53题:      (4×1)-1/2 = 
第54题:      2/4 = 
第55题:      1/5×8×1 = 
第56题:      8*3 = 
第57题:      (1/9×7)÷7 = 
第58题:      7*10 = 
第59题:      1/8+4 = 
第60题:      8/10 = 
第61题:      3/5-1/8 = 
第62题:      10×1÷5 = 
第63题:      1/2×10+10 = 
第64题:      4÷(1/3×6) = 
第65题:      10*8 = 
第66题:      4×3/4+9 = 
第67题:      1+(6×7) = 
第68题:      2÷6+3/5 = 
第69题:      1/6÷(9+4) = 
第70题:      (5-1)÷10 = 
第71题:      2/3+5÷3/5 = 
第72题:      4-3+1/3 = 
第73题:      8+1/2 = 
第74题:      9+9 = 
第75题:      6×7×3 = 
第76题:      9+(3÷6) = 
第77题:      (4/5+5)+1/2 = 
第78题:      10-4 = 
第79题:      1/5×(1/4÷10) = 
第80题:      1/3/9 = 
第81题:      (1/2÷7)+2/9 = 
第82题:      (7+2)÷1 = 
第83题:      9/10÷10÷7 = 
第84题:      1/3÷4/5×7 = 
第85题:      1×(6×8) = 
第86题:      10-(3/4÷1/4) = 
第87题:      1/3*3 = 
第88题:      1/5/7 = 
第89题:      (6/7+1)+6/7 = 
第90题:      (7-2)-1 = 
第91题:      8-1×6 = 
第92题:      7/10 = 
第93题:      3+4 = 
第94题:      9/7/10 = 
第95题:      (3-7/8)+6/7 = 
